State or location,Abbrev,All fields,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Business,Education,Humanities,Visual and performing arts,Other,,,,,,,,,,,,,,,,,
North Dakota,ND,175,1.41,3.28,0.31,5.47,0.63,1.09,0.94,0.16,1.56,3.75,0.63,1.09,4.69,0.94,0.00,1.41,,,,,,,,,,,,,,,,,
Ohio,OH,1878,5.63,46.56,5.63,59.53,4.38,13.44,9.06,8.28,27.66,20.63,22.34,6.25,28.91,17.19,5.16,12.81,,,,,,,,,,,,,,,,,
Oklahoma,OK,484,3.44,10.63,1.09,12.34,4.22,3.28,1.09,0.94,5.00,8.44,3.59,4.22,8.91,4.22,2.03,2.19,,,,,,,,,,,,,,,,,
Oregon,OR,552,3.28,14.06,2.50,15.31,2.81,3.75,2.97,1.41,7.81,7.34,9.53,2.34,5.31,2.19,1.41,4.22,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2434,2.97,61.88,19.38,70.00,5.00,19.84,13.28,12.50,36.56,20.47,34.53,12.34,23.28,25.63,5.78,16.88,,,,,,,,,,,,,,,,,
Rhode Island,RI,260,0.47,7.19,1.72,5.47,1.72,1.41,1.41,1.88,3.91,1.56,6.09,1.09,1.41,4.06,0.63,0.63,,,,,,,,,,,,,,,,,
South Carolina,SC,476,1.72,11.72,2.03,19.69,1.09,6.25,2.34,0.94,6.72,2.81,4.53,2.66,6.25,2.34,0.00,3.28,,,,,,,,,,,,,,,,,
South Dakota,SD,122,2.66,2.34,0.78,2.66,0.78,1.88,0.16,1.25,2.03,1.09,1.25,0.00,0.31,0.16,0.00,1.72,,,,,,,,,,,,,,,,,
Tennessee,TN,880,3.75,25.63,3.28,23.59,0.94,6.56,3.13,4.84,10.78,10.94,11.09,1.25,14.38,10.78,2.19,4.38,,,,,,,,,,,,,,,,,
Texas,TX,4118,13.59,94.53,23.59,143.44,17.34,33.44,24.69,14.06,48.75,39.22,40.31,20.31,59.06,43.28,6.56,21.25,,,,,,,,,,,,,,,,,
Utah,UT,502,1.88,11.56,3.44,17.50,2.19,4.84,3.44,1.09,6.88,6.88,3.13,1.72,9.22,2.03,0.16,2.50,,,,,,,,,,,,,,,,,
Vermont,VT,64,1.25,3.28,0.47,1.41,0.00,0.00,0.16,0.16,1.25,1.09,0.31,0.00,0.63,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
Virginia,VA,1518,6.25,27.03,12.19,48.59,4.53,11.41,6.41,7.19,18.13,16.88,20.63,7.97,29.22,9.69,1.88,9.22,,,,,,,,,,,,,,,,,
Washington,WA,910,4.69,25.63,5.94,23.91,5.31,9.06,7.34,5.78,15.00,7.81,11.41,3.75,5.47,4.84,1.56,4.69,,,,,,,,,,,,,,,,,
West Virginia,WV,215,0.94,4.69,0.47,6.25,0.47,2.19,0.47,0.16,3.44,3.59,2.97,0.16,2.97,0.63,2.50,1.72,,,,,,,,,,,,,,,,,
Wisconsin,WI,940,4.38,26.25,3.28,20.78,1.41,10.31,8.13,1.72,16.88,9.84,15.63,3.13,8.91,9.69,1.25,5.31,,,,,,,,,,,,,,,,,
Wyoming,WY,84,0.78,2.66,0.16,4.06,1.25,0.00,0.31,0.16,1.41,0.78,0.31,0.00,1.25,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
